"","TRACTCE10","SMARTPHONE_APP","OTHER","EMAIL","PHONE","FAX","SOCIALMEDIA","WALKIN","MAIL","WEB","MAYOR_OFFICE","PER_TRACT","DELAYED","perc_smartapp","perc_other","perc_email","perc_phone","perc_fax","perc_socialmedia","perc_walkin","perc_mail","perc_web","perc_mayor","perc_delayed"
"47","003705",9,0,8,59,1,0,0,0,3,0,80,18,0.1125,0,0.1,0.7375,0.0125,0,0,0,0.0375,0,0.225
"48","003707",1,0,7,74,1,0,0,0,5,0,88,17,0.0113636363636364,0,0.0795454545454545,0.840909090909091,0.0113636363636364,0,0,0,0.0568181818181818,0,0.193181818181818
"49","004901",14,0,2,210,3,0,0,1,5,0,235,49,0.0595744680851064,0,0.00851063829787234,0.893617021276596,0.0127659574468085,0,0,0.00425531914893617,0.0212765957446809,0,0.208510638297872
"50","004902",16,0,7,558,6,0,1,0,20,0,608,177,0.0263157894736842,0,0.0115131578947368,0.917763157894737,0.00986842105263158,0,0.00164473684210526,0,0.0328947368421053,0,0.291118421052632
"51","005001",20,0,8,890,7,0,1,0,14,1,941,234,0.0212539851222104,0,0.00850159404888417,0.945802337938363,0.00743889479277365,0,0.00106269925611052,0,0.0148777895855473,0.00106269925611052,0.248671625929862
"52","005002",23,0,4,569,3,0,2,1,3,0,605,169,0.0380165289256198,0,0.00661157024793388,0.940495867768595,0.00495867768595041,0,0.00330578512396694,0.00165289256198347,0.00495867768595041,0,0.279338842975207
"53","005102",14,0,9,458,4,0,0,0,13,0,498,126,0.0281124497991968,0,0.0180722891566265,0.919678714859438,0.00803212851405622,0,0,0,0.0261044176706827,0,0.253012048192771
"54","005103",4,0,4,202,1,0,0,0,2,0,213,50,0.0187793427230047,0,0.0187793427230047,0.948356807511737,0.00469483568075117,0,0,0,0.00938967136150235,0,0.234741784037559
"55","005104",6,0,3,288,1,1,0,0,8,0,307,77,0.0195439739413681,0,0.00977198697068404,0.938110749185668,0.00325732899022801,0.00325732899022801,0,0,0.0260586319218241,0,0.250814332247557
"56","005201",6,0,5,657,0,0,2,1,4,0,675,240,0.00888888888888889,0,0.00740740740740741,0.973333333333333,0,0,0.00296296296296296,0.00148148148148148,0.00592592592592593,0,0.355555555555556
"57","005202",18,0,0,613,2,0,0,0,6,0,639,212,0.028169014084507,0,0,0.959311424100156,0.00312989045383412,0,0,0,0.00938967136150235,0,0.331768388106416
"58","005302",19,0,7,623,5,1,1,0,9,0,665,207,0.0285714285714286,0,0.0105263157894737,0.936842105263158,0.0075187969924812,0.00150375939849624,0.00150375939849624,0,0.0135338345864662,0,0.311278195488722
"59","005303",7,0,4,410,2,0,1,0,2,0,426,137,0.0164319248826291,0,0.00938967136150235,0.962441314553991,0.00469483568075117,0,0.00234741784037559,0,0.00469483568075117,0,0.321596244131455
"60","005304",11,0,3,406,3,0,1,1,2,0,427,140,0.0257611241217799,0,0.00702576112412178,0.950819672131147,0.00702576112412178,0,0.00234192037470726,0.00234192037470726,0.00468384074941452,0,0.327868852459016
"61","005403",3,0,2,147,1,0,4,0,6,0,163,50,0.0184049079754601,0,0.0122699386503067,0.901840490797546,0.00613496932515337,0,0.0245398773006135,0,0.0368098159509202,0,0.306748466257669
"62","005405",9,0,7,354,3,0,0,0,6,0,379,110,0.0237467018469657,0,0.0184696569920844,0.934036939313984,0.0079155672823219,0,0,0,0.0158311345646438,0,0.29023746701847
"63","005406",25,0,3,429,3,1,3,0,8,0,472,172,0.0529661016949153,0,0.00635593220338983,0.908898305084746,0.00635593220338983,0.00211864406779661,0.00635593220338983,0,0.0169491525423729,0,0.364406779661017
"64","005407",9,0,4,298,1,0,1,0,8,0,321,75,0.0280373831775701,0,0.0124610591900312,0.928348909657321,0.00311526479750779,0,0.00311526479750779,0,0.0249221183800623,0,0.233644859813084
"65","005409",9,0,6,276,0,0,0,0,3,0,294,91,0.0306122448979592,0,0.0204081632653061,0.938775510204082,0,0,0,0,0.0102040816326531,0,0.30952380952381
"66","005410",6,0,3,286,0,0,1,1,5,0,302,90,0.0198675496688742,0,0.00993377483443709,0.947019867549669,0,0,0.0033112582781457,0.0033112582781457,0.0165562913907285,0,0.298013245033113
