"","tract","land_area","water_area","med_age","Occupied_housing_units","renter_occupied","med_income","mean_income","perc_female","perc_male","perc_black","perc_asian","perc_white","perc_latino","perc_other","house_with_child","renter","highschool","associate","some_college","bachelor","graduate","year_65_up","eight_to_24","unemployment_rate","per_cap_income","tot_pop","income_15_to_24","income_35_to_49","income_50_to_74","income_75_to_99","income_100_to_149","non_cit","foreign","perc_foreign_pop"
"82","004901",1485324,230813,38.7,1279,1134,17775,33915,47,53,5.1,1.1,2.2,91.5,0,38.3,95.7,42,6.4,13.5,13.3,4.7,12.8,12.7,5.9,13390,3740,30.5,20.2,10,2.9,1.3,42.3,2673,71.5
"83","006705",190017,19097,43.9,2138,931,72356,137528,46.5,53.5,2,4.7,41.7,51.7,0,15.1,53.2,6.8,7.4,12.3,25.8,41.8,22,4,4.9,84907,3101,2.7,6.1,15.2,7.2,15.2,24.3,1792,57.8
"84","002403",942408,0,36.4,1239,782,22888,37499,47.7,52.3,6,0,2.6,91.4,0,23.4,74.1,36.7,3.6,16.2,8.6,1.6,13,13.9,10.9,14445,4241,22.1,15.6,12.3,5,5.3,30.6,2783,65.6
"85","006201",636419,0,41.6,1231,751,23887,64794,49.5,50.5,0.8,0,10.3,87.3,0.8,22.1,60.2,23.3,9,17.1,20.2,13.9,17.7,5.7,1.8,23118,3236,17.7,14.5,15.7,14,9.6,37.5,2165,66.9
"86","005902",1334046,37040,44.9,1315,515,24160,47962,54.2,45.8,1.8,0,7.6,90.6,0,22.8,42.3,31.8,7.6,19,11.4,3.6,23,8.1,11.7,16236,4005,20.7,22.3,14.9,12.1,8.2,26.7,2788,69.6
"87","003100",1077391,14846,31.7,1519,1224,23010,45546,54.9,45.1,71.6,0,3.1,24.3,0,25.1,79.9,30,4,12.6,10.9,1.1,15.1,10.6,27.1,12132,4450,21.7,1.6,10.1,12.9,2.4,12.2,803,18
"88","003705",123021,6852,29.9,642,531,49931,91686,51.6,48.4,0,7.5,33.7,58.9,0,19.2,63.6,3.6,5.3,6.6,41.5,38.2,3.2,6.3,1.4,50623,1179,0,17.6,21.8,8.1,21.5,37.4,637,54
"89","006802",2306028,4876084,52.8,1697,403,73699,196073,49.2,50.8,1.1,1.5,50.4,47,0,22,27,7.2,3.2,13.2,35.5,34.3,32.9,6.3,3.7,83349,3567,0.8,0.9,1.3,8.7,16.3,5,1095,30.7
"90","002100",1926643,5195605,42.3,1073,431,32500,123151,46.5,53.5,21.3,0.5,41.1,36.6,0,18.3,45.8,27.5,7.4,14.3,27.5,18.8,13,6.6,10,52206,2752,11.9,9.2,18.4,6.2,15.2,11.7,999,36.3
"91","005409",329228,0,39.4,1541,1459,16981,30999,50.1,49.9,1.6,0,1.5,96.9,0,27.9,98.3,30.3,4.2,11.5,8,2.5,16.9,7.2,14.4,10731,4138,24,19.7,5,5.3,0,51.3,2926,70.7
"92","003400",855462,0,32.4,941,874,20034,26216,53.6,46.4,74.3,0,8.1,17.6,0,19.3,92.5,29.4,10.1,16.7,6.9,2.8,17,5.6,35.1,12015,1763,23.5,9.5,6.7,2.2,0,23.7,508,28.8
"93","003704",244280,12864,34.7,788,678,28399,48176,44.7,55.3,12.7,4.8,40.5,42,0,12,84,21,7,12.8,28.5,21.1,6.8,7.6,4.8,27713,1263,6,19,24.5,6.5,17.9,31.7,675,53.4
"94","006707",180056,2175840,36.6,2130,1018,82700,148287,56,44,0,3.2,37.2,59.6,0,25.8,53.5,3.7,3.9,10.5,40,41.9,9.1,3.6,5.4,69369,3954,0,6,6.2,14.9,15.6,30,2102,53.2
"95","005403",263316,0,40.2,502,328,15974,37219,47.1,52.9,0.1,0,4,96,0,28.4,75,47.5,9.8,14.2,5.4,0.3,16.5,8.5,2.5,14531,1640,22.9,21.7,10.2,8,4.6,43.4,1214,74
"96","001801",1306930,0,29.6,1177,636,20515,34207,52.8,47.2,80.1,0,1.4,16.1,0,31.2,64.9,43.8,6.9,14.9,7.5,2.1,10.6,9.2,25.3,10846,4028,25.3,14.1,13.1,1.6,1.6,9.4,571,14.2
"97","001703",2488358,40720,36.6,1712,1176,18493,38819,48.8,51.2,2.3,0.2,1,94.4,2,26.6,74.1,35.8,3.6,14.1,4,2.6,15.2,7.9,11.1,11358,4689,20.6,13.8,17.8,4.4,5.3,36.6,3249,69.3
"98","006709",91954,3565,31.7,253,232,100338,193659,38.4,61.6,7.2,7.9,46.1,36.1,0.3,10.5,77.6,8.5,6.9,10.7,33,37.7,2.1,9.2,1.3,111292,1163,2.7,0,11.4,3.2,23.8,31.4,628,54
"99","001005",990429,30171,48.2,829,546,25405,36656,55.7,44.3,77.1,0.2,4,18.6,0,20.6,68.8,35.5,12.5,15.7,9.8,5.4,25,4.5,18.8,14681,2143,17.2,7.2,19.4,5.6,6.6,8.1,454,21.2
"100","001104",2572287,24297,41.8,1720,344,43664,112257,48.6,51.4,24,2.2,36.8,33.4,1.4,35.5,19.9,16.2,5.5,21.3,25.8,22.7,12.7,5.2,5.4,39146,4829,5.9,7.4,11.4,10.1,24.8,10.9,1554,32.2
"101","005901",1302601,0,45.2,1508,595,27371,67830,55.6,44.4,0,0.2,7.5,91.5,0,26.3,44.7,31.3,12.1,12.6,17.2,9.5,23.2,6.2,3.5,24870,4552,7.3,20,16.3,10,17.7,29.1,2988,65.6
"102","001002",2428932,106306,34.5,2058,880,21527,51143,52.6,47.4,67.1,0,4.3,27.8,0,28.3,35.2,39.3,6.2,17.1,7.8,7,14.6,6.2,15.2,17814,6314,15.7,13.8,16.8,23.3,11.2,13.9,1543,24.4
"103","001502",1691399,13777,27.5,1236,803,18341,35125,53.2,46.8,79.7,0,0,18.5,0,26,72.5,43.3,10.2,10.9,1.2,1,9.4,12.9,22.6,10134,4012,18.7,11.1,18.4,2.4,10.2,10.4,502,12.5
"104","006706",268384,1719399,39.6,1266,500,70909,108860,53.3,46.7,2.5,2,36.3,59.2,0,14.3,39.5,5.1,7.9,9.7,34.1,39.1,20.4,1.9,0.9,59937,2060,1.7,8,6.3,7.8,30.7,18.9,1146,55.6
"105","001006",1278640,27052,33.1,1451,685,23286,49129,49.3,50.7,61.3,1.1,4.9,30.7,0,36.5,48.3,30.4,10.7,15.8,7.6,5.7,12.6,10.7,16.2,13870,4866,12.9,17.5,21,7,5.9,19.3,2079,42.7
"106","005703",396432,141969,45.4,2954,1948,20502,43391,56.9,43.1,0,0,4.5,93.9,0,21.3,71,29.8,13.7,9.8,14.9,4.7,25.7,7.6,8.5,17286,7483,25.2,20.9,11.4,5.8,4.1,32.5,5575,74.5
"107","006101",2147364,0,44.6,1939,365,60257,141202,53.5,46.5,0,1,26,70.3,0,28.5,22,14,12,12.9,29.9,26.1,21.6,4.1,3.7,52937,5794,3.8,9.9,11.3,13.4,17.6,8.3,2648,45.7
"108","007400",3994608,117932,41.1,2652,748,65551,162017,53.1,46.9,0,3.2,36.2,59.3,0,30.4,22.3,6.3,6.1,12.8,33.8,37.3,18.9,6.5,2.7,58879,7568,2.3,5.8,9,9.4,23.4,9.7,3205,42.3
"109","007702",7108338,1249795,45.7,2224,461,35250,117404,47.8,52.2,0.5,0.9,19.8,78.8,0,22.8,23.8,20.8,9.6,21.4,22.7,14.8,21.3,9.2,1.1,43277,6224,1.7,11.3,10.5,10.7,24.3,13.4,3125,50.2
