"","TRACTCE10","cluster","state","county","tot_pop","med_income","per_cap_income","perc_under_poverty","perc_unemployment_rate","perc_white","perc_aa","perc_hispanic","perc_other_race","perc_ed_high","perc_ed_college","perc_ed_att_col_deg","perc_other_ed","perc_citizen","perc_non_citizen","tourist"
"56","001703",1,12,86,4689,22725,11358,35.7,11.1,1,2.3,94.4,2.3,35.8,4,2.6,57.6,63.4,36.6,"N.Tourist"
"57","001802",1,12,86,3743,29632,16065,33.2,15.5,0,63.4,35.7,0.9,36.9,14.9,1.1,47.1,85.8,14.2,"N.Tourist"
"58","001803",1,12,86,3295,12654,8143,63.1,23.3,0.2,72.4,27.2,0.2,33.4,5.8,0,60.8,90.6,9.4,"N.Tourist"
"59","001904",3,12,86,4560,23534,10467,37,18.8,0.9,84.1,14.4,0.6,44.3,5.7,1.5,48.5,94.9,5.1,"N.Tourist"
"60","002003",3,12,86,3863,23267,11578,38.3,19.2,5,72.7,18.9,3.4,32.7,6.6,2.8,57.9,79.1,20.9,"Tourist"
"61","002100",3,12,86,2752,67708,52206,21.1,10,41.1,21.3,36.6,1,27.5,27.5,18.8,26.2,88.3,11.7,"N.Tourist"
"62","002201",3,12,86,3901,46060,23538,12.6,7.1,17.4,40.9,40.3,1.4,26.7,18.3,6.1,48.9,83.7,16.3,"N.Tourist"
"63","002202",3,12,86,6362,27442,13715,37.4,11.5,4.3,63.8,31.4,0.5,36.9,9.9,3.2,50,80.6,19.4,"N.Tourist"
"64","002300",3,12,86,4820,25708,14843,36.2,16.4,0.9,78.2,19.4,1.5,37.8,3.5,1.2,57.5,87.9,12.1,"N.Tourist"
"65","002404",3,12,86,4790,14029,13537,48,11.6,1.8,9.1,89.1,0,31.7,5.1,3.2,60,63.4,36.6,"N.Tourist"
"66","002600",3,12,86,6931,39957,20277,33.7,10.3,10.4,13,74.7,1.9,23.3,25.6,11.2,39.9,63.5,36.5,"N.Tourist"
"67","002702",3,12,86,3505,46250,24788,27.9,18.7,12.2,16.7,68.4,2.7,17.8,19.3,8.8,54.1,60.8,39.2,"N.Tourist"
"68","002703",4,12,86,5994,84680,60261,9.4,1.6,42.4,6.6,47,4,11.3,33.5,27.2,28,80.1,19.9,"Tourist"
"69","002705",3,12,86,3099,57132,39177,19.6,9.4,29.6,7,60.4,3,17.3,26.5,23.8,32.4,71,29,"N.Tourist"
"70","002706",3,12,86,4507,60588,36970,16,4.2,30.7,7.3,58.8,3.2,20.6,30.5,20.5,28.4,71.1,28.9,"N.Tourist"
"71","002800",3,12,86,1386,20682,11598,52.3,14.6,6.6,60.7,32,0.7,35.2,10.1,4,50.7,83.5,16.5,"Tourist"
"72","002900",3,12,86,6871,27286,11880,24.6,9.4,4.1,12.5,83.3,0.1,40.7,5.9,1.7,51.7,74.8,25.2,"N.Tourist"
"73","003004",3,12,86,5168,17261,13815,38.6,5.6,5.6,17.6,74.7,2.1,34.4,7.4,3.5,54.7,64.2,35.8,"N.Tourist"
"74","003100",3,12,86,4450,13660,12132,47.9,27.1,3.1,71.6,24.3,1,30,10.9,1.1,58,87.8,12.2,"N.Tourist"
"75","003400",3,12,86,1763,19036,12015,44.9,35.1,8.1,74.3,17.6,0,29.4,6.9,2.8,60.9,76.3,23.7,"Tourist"
"76","003601",3,12,86,3973,15331,15010,49.6,22.7,3.2,40.8,56,0,35.1,7.4,6.4,51.1,86.5,13.5,"Tourist"
"77","003702",1,12,86,4403,71928,65522,20.6,6.4,33.6,14.6,49,2.8,13.5,26.8,23.5,36.2,81.2,18.8,"Tourist"
"78","003703",3,12,86,1503,78333,59272,20.4,3.2,56.8,2.3,31.5,9.4,9.2,37.1,40.5,13.2,64.3,35.7,"N.Tourist"
"79","003704",3,12,86,1263,31932,27713,25.7,4.8,40.5,12.7,42,4.8,21,28.5,21.1,29.4,68.3,31.7,"Tourist"
"80","003705",2,12,86,1179,74167,50623,10.2,1.4,33.7,0,58.9,7.4,3.6,41.5,38.2,16.7,62.6,37.4,"Tourist"
"81","003707",3,12,86,1252,40588,40147,35.7,7.9,28.8,14.3,46,10.9,15.9,33.4,17.3,33.4,81.8,18.2,"N.Tourist"
"82","003803",4,12,86,2917,49869,53856,11.7,5.7,55.9,0,39.8,4.3,11.3,32.2,21.4,35.1,86.3,13.7,"Tourist"
"83","003906",4,12,86,3288,178438,92871,9.1,2.4,69.6,1.4,26.6,2.4,7.2,33,41.3,18.5,87,13,"N.Tourist"
"84","003912",4,12,86,4754,51250,38990,18,6,21,2.7,72.6,3.7,25.4,15.4,13.1,46.1,74.1,25.9,"N.Tourist"
"85","003916",4,12,86,4212,40885,30167,17.9,3.4,29.5,1.6,64.5,4.4,30.5,22.4,14.9,32.2,69.8,30.2,"N.Tourist"
"86","003917",4,12,86,5042,52075,29543,11.3,3.4,28.1,1.1,65.1,5.7,24.8,27.6,16,31.6,71,29,"N.Tourist"
"87","003919",4,12,86,2326,89015,65967,4,2.1,44.8,0,53.7,1.5,9,31.3,31.4,28.3,82.1,17.9,"Tourist"
